REGIAO:;NE
UF:;BA
ESTACAO:;FORMOSA DO RIO PRETO
CODIGO (WMO):;A452
LATITUDE:;-11,05222222
LONGITUDE:;-45,20083333
ALTITUDE:;488
DATA DE FUNDACAO:;02/06/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;958,6;958,8;958,2;;22,7;22,7;23,3;22,7;23,3;22,7;100;100;100;140;2,9;1,2;
2024/01/01;0100 UTC;0;958,4;958,6;957,9;;22,9;22,9;23,1;22,7;23,1;22,6;100;100;100;194;3,7;2,3;
2024/01/01;0200 UTC;,2;958,8;959,2;958,4;;22,7;22,7;22,9;22,6;22,9;22,6;100;100;100;37;3,7;,6;
2024/01/01;0300 UTC;0;958,5;958,8;958,5;;22,8;22,8;22,8;22,7;22,8;22,7;100;100;100;15;1,1;,4;
2024/01/01;0400 UTC;0;957,7;958,5;957,7;;22,6;22,6;22,8;22,5;22,8;22,5;100;100;100;110;1,4;,6;
2024/01/01;0500 UTC;0;957,3;957,7;957,3;;22,5;22,4;22,8;22,4;22,8;22,4;100;100;100;212;1,9;,5;
2024/01/01;0600 UTC;0;956,7;957,3;956,7;;22,6;22,6;22,6;22,4;22,6;22,4;100;100;100;32;1,3;,4;
2024/01/01;0700 UTC;0;956,4;956,7;956,4;;22,5;22,5;22,7;22,5;22,6;22,4;100;100;100;38;2,4;,4;
2024/01/01;0800 UTC;0;956,6;956,6;956,3;;22,5;22,5;22,6;22,4;22,6;22,4;100;100;100;139;2,2;,5;
2024/01/01;0900 UTC;0;957,2;957,2;956,4;8,2;22,6;22,5;22,6;22,3;22,5;22,3;100;100;100;56;1,3;,4;
2024/01/01;1000 UTC;0;957,7;957,7;957,2;208,2;23,2;23,2;23,2;22,5;23,2;22,5;100;100;100;118;2,1;,4;
2024/01/01;1100 UTC;0;958,2;958,2;957,7;653,4;24,6;24,6;24,6;23,1;24,6;23,1;100;100;100;145;1,8;1;
2024/01/01;1200 UTC;0;958,3;958,4;958,2;2504,8;26,8;24,4;27,3;24,5;25,1;23,8;100;84;87;257;2,5;1,2;
2024/01/01;1300 UTC;,2;958,3;958,5;958,3;2839,3;29;25,1;29;26,8;25,7;24,1;89;78;79;296;3,3;1,4;
2024/01/01;1400 UTC;0;957,6;958,3;957,6;3448,1;30,7;23;31,1;28,3;25,6;22,7;83;64;64;340;4,3;1,2;
2024/01/01;1500 UTC;0;956,4;957,6;956,4;2585,4;30;24,4;32,9;29,4;24,8;22,4;74;57;72;357;5,4;1,5;
2024/01/01;1600 UTC;0;955,3;956,4;955,3;4158,2;33,1;21,3;35;30,1;24,9;21,3;72;50;50;46;5,4;1,5;
2024/01/01;1700 UTC;0;953,9;955,3;953,8;3431,3;33,3;21,8;35,1;31,6;23,6;20,2;58;44;51;319;4,5;1,1;
2024/01/01;1800 UTC;0;953,1;953,9;953,1;2235;33,7;23,1;34,5;32,8;23,6;20,7;59;45;54;83;4,5;,8;
2024/01/01;1900 UTC;0;953,1;953,1;952,8;1723,7;31;24,9;33,7;30,7;25,1;21,3;72;49;70;112;6,1;1,6;
2024/01/01;2000 UTC;18,8;954,6;954,8;953,1;212,6;22,7;22,7;31,1;22,6;25;22,6;100;67;100;33;6,9;,8;
2024/01/01;2100 UTC;3,6;954,7;954,7;954,4;47,3;23,4;23,4;23,6;22,7;23,6;22,7;100;100;100;318;2,9;1,2;
2024/01/01;2200 UTC;,6;955;955;954,7;,4;23,9;23,9;23,9;23,2;23,9;23,2;100;100;100;285;2,2;,9;
2024/01/01;2300 UTC;0;955,2;955,3;955;;23,4;23,4;24;23,4;24;23,4;100;100;100;267;4,3;1,2;
2024/01/02;0000 UTC;0;956,7;956,7;955,2;;23,6;23,5;23,7;23,4;23,7;23,4;100;100;100;292;2,4;1,6;
2024/01/02;0100 UTC;0;957,4;957,4;956,7;;23,8;23,8;23,9;23,5;23,9;23,5;100;100;100;322;3,7;1,7;
2024/01/02;0200 UTC;,2;958,1;958,1;957,4;,9;23,6;23,6;24;23,6;24;23,6;100;100;100;262;4,9;2;
2024/01/02;0300 UTC;19,8;957,7;958,1;957,6;;23,1;23,1;23,6;22,8;23,5;22,8;100;100;100;334;7,2;1,5;
2024/01/02;0400 UTC;4,2;957,2;957,7;957,1;;22,9;22,9;23,2;22,9;23,2;22,9;100;100;100;335;4,5;,6;
2024/01/02;0500 UTC;3,8;957,4;957,4;957,2;;23;23;23,1;22,9;23,1;22,9;100;100;100;255;2;,9;
2024/01/02;0600 UTC;3,6;956,7;957,4;956,7;;22,7;22,7;23;22,7;23;22,7;100;100;100;238;2,7;1,5;
2024/01/02;0700 UTC;1,6;955,8;956,7;955,8;;22,5;22,5;22,7;22,5;22,7;22,5;100;100;100;284;2,7;1,7;
2024/01/02;0800 UTC;0;955,6;955,8;955,3;;22,4;22,4;22,6;22,4;22,5;22,4;100;100;100;251;2,7;1;
2024/01/02;0900 UTC;,2;956,8;956,8;955,6;1,7;22,4;22,3;22,5;22,1;22,4;22,1;100;100;100;217;2,3;1,1;
2024/01/02;1000 UTC;0;957,2;957,3;956,8;143,5;22,8;22,8;22,9;22,3;22,9;22,2;100;100;100;213;1,8;,8;
2024/01/02;1100 UTC;0;957,6;957,6;957,3;622,8;24,5;24,3;24,5;22,8;24,3;22,9;100;99;99;3;1,7;,6;
2024/01/02;1200 UTC;0;958,3;958,3;957,6;1681,7;26,3;25,2;27;24,5;25,3;23,5;100;85;94;77;2,2;,9;
2024/01/02;1300 UTC;0;958,6;958,7;958,3;2017,7;27,3;24,9;27,6;26,2;25,8;23,9;94;83;87;18;2,9;,9;
